ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
titzpatrick,diefenbacker,0.166666667,0.166666667,0.523737374,0.523737374,0.416666667,0.523737374,0.523737374,0.173913043,0.173913043,0.181818182,0.181818182,0.166666667,0.166666667,0.2,0.218181818,0.208695652,0.416666667,0.454545455,0.434782609,0.416666667,0.454545455,0.434782609,0.090909091,0.1,0.095238095,0.076923077,0.083333333,0.08,0,0,0,0,0,0,0.347826087,0.363636364,0.333333333,0.095238095,0.1,0.090909091,0,0,0,0.347826087,0.363636364,0.333333333,0.08,0.083333333,0.076923077,0,0,0,0.06557377,0.071428571,0.068376068,0.039215686,0.043478261,0.041237113,0.25,0.25,0.25,0.25,0.5,0,0.395833343,0.451388903,0.406250019,0.461111125,0.583333348,0.598290618,0.600000029,0.617094035,0.333333333,0,0,0,11,12,3,4,3,5,8,7,-1,-2,1,-1
russell,defoy,0,0,0,0,0.142857143,0,0,0.166666667,0.166666667,0.2,0.2,0.142857143,0.142857143,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.266666675,0.377777791,0.273333347,0.391111124,0.333333343,0.481481499,0.341666684,0.496296313,0.428571429,0,0,0,7,5,2,2,2,2,5,3,2,0,2,0
fitchett,delaney,0.125,0.125,0.422619048,0.422619048,0.125,0.422619048,0.422619048,0.133333333,0.133333333,0.142857143,0.142857143,0.125,0.125,0.125,0.142857143,0.133333333,0.125,0.142857143,0.133333333,0.125,0.142857143,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.142857143,0.125,0,0,0,0,0,0,0.133333333,0.142857143,0.125,0,0,0,0,0,0,0.024390244,0.027777778,0.025974026,0,0,0,0,0.25,0.25,0.25,0,0.25,0.205128211,0.290598301,0.210256421,0.372222235,0.296296305,0.433333349,0.303703719,0.446666682,0.3125,0,0,0,8,7,2,3,2,3,6,4,1,-1,2,-1
neal,delawaten,0.222222222,0.222222222,0.583333333,0.583333333,0.444444444,0.583333333,0.583333333,0.153846154,0.153846154,0.25,0.25,0.111111111,0.111111111,0.155555556,0.35,0.215384615,0.444444444,1,0.615384615,0.444444444,1,0.615384615,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,0.75,0.333333333,0,0,0,0,0,0,0.461538462,0.75,0.333333333,0,0,0,0,0,0,0.108695652,0.238095238,0.149253731,0.055555556,0.181818182,0.085106383,0.25,0.25,0.25,0.5,0.25,0.25,0.333333343,0.363636374,0.350000024,0.377777788,0.666666687,0.666666687,0.700000048,0.700000018,0.277777778,0,0,0,4,9,1,4,2,4,2,5,-5,-2,-3,-3
witheral,dempsey,0,0,0.422619048,0.422619048,0.125,0.422619048,0.422619048,0.133333333,0.133333333,0.142857143,0.142857143,0.125,0.125,0.125,0.142857143,0.133333333,0.125,0.142857143,0.133333333,0.125,0.142857143,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.142857143,0.125,0,0,0,0,0,0,0.133333333,0.142857143,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.205128211,0.290598301,0.210256421,0.372222235,0.296296305,0.433333349,0.303703719,0.446666682,0.1875,0,0,0,8,7,3,2,3,2,5,5,1,1,0,1
mccullough,deneau,0.1,0.1,0.422222222,0.422222222,0.1,0.422222222,0.422222222,0.125,0.125,0.166666667,0.166666667,0.1,0.1,0.14,0.233333333,0.175,0.1,0.166666667,0.125,0.1,0.166666667,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.166666667,0.1,0,0,0,0,0,0,0.125,0.166666667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.133333337,0.214814822,0.137777785,0.220740747,0.363636374,0.50000002,0.372727291,0.514814834,0.35,0,0,0,10,6,2,2,3,4,7,2,4,-1,5,0
sugden,denby,0.166666667,0.166666667,0,0,0.5,0,0,0.545454545,0.545454545,0.6,0.6,0.5,0.5,0.5,0.6,0.545454545,0.5,0.6,0.545454545,0.5,0.6,0.545454545,0.4,0.5,0.444444444,0.285714286,0.333333333,0.307692308,0.25,0.333333333,0.285714286,0.125,0.142857143,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193548387,0.230769231,0.210526316,0.285714286,0.375,0.324324324,0,0,0,0.25,0.25,0,0.370370375,0.411111116,0.377777788,0.420000005,0.57142858,0.652777791,0.580952397,0.669444457,0.166666667,0,0,0,6,5,2,2,2,1,4,4,1,1,0,0
feeny,denyes,0.333333333,0.333333333,0.697222222,0.697222222,0.666666667,0.697222222,0.697222222,0.545454545,0.545454545,0.6,0.6,0.5,0.5,0.5,0.6,0.545454545,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.4,0.5,0.444444444,0.285714286,0.333333333,0.307692308,0.25,0.333333333,0.285714286,0.125,0.142857143,0.133333333,0.727272727,0.8,0.666666667,0.444444444,0.5,0.4,0.285714286,0.333333333,0.25,0.727272727,0.8,0.666666667,0.307692308,0.333333333,0.285714286,0.133333333,0.142857143,0.125,0.290322581,0.346153846,0.315789474,0.285714286,0.375,0.324324324,0.5,0.75,0.5,0.75,0.333333333,0.5,0.666666678,0.680555567,0.680952404,0.694444455,0.777777791,0.777777791,0.794444472,0.793650806,0.583333333,0.114285714,0.133333333,0.1,5,6,2,2,2,2,3,4,-1,0,-1,0
gough,denison,0,0,0,0,0.142857143,0,0,0.166666667,0.166666667,0.2,0.2,0.142857143,0.142857143,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.266666675,0.292929303,0.273333347,0.305050514,0.444444458,0.539682559,0.455555578,0.558730177,0.142857143,0,0,0,5,7,1,3,2,3,3,4,-2,-1,-1,-2
power,denis,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.333333333,0,0.25,0.333333343,0.358024703,0.341666684,0.372839517,0.444444458,0.539682559,0.455555578,0.558730177,0.2,0,0,0,5,5,2,2,2,2,3,3,0,0,0,0
