first,second,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong
elenor,agnes,0.166666667,0.166666667,0.411111111,0.411111111,0.333333333,0.411111111,0.411111111,0.181818182,0.181818182,0.2,0.2,0.166666667,0.166666667,0.233333333,0.28,0.254545455,0.333333333,0.4,0.363636364,0.333333333,0.4,0.363636364,0,0,0,0,0,0,0,0,0,0,0,0,0.363636364,0.4,0.333333333,0,0,0,0,0,0,0.363636364,0.4,0.333333333,0,0,0,0,0,0,0.032258065,0.038461538,0.035087719,0,0,0,0.25,0.5,0.5,0.25,0.5,0.25,0.416666679,0.541666687,0.307407426,0.563888907,0.571428588,0.611111134,0.590476223,0.63888891,0.333333333,0,0,0
may,aggie,0,0,0.511111111,0.511111111,0.2,0.511111111,0.511111111,0.25,0.25,0.333333333,0.333333333,0.2,0.2,0.2,0.333333333,0.25,0.2,0.333333333,0.25,0.2,0.333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333,0.2,0,0,0,0,0,0,0.25,0.333333333,0.2,0,0,0,0,0,0,0.038461538,0.0625,0.047619048,0,0,0,0.5,0.5,0.5,0.333333333,0,0.5,0.285714294,0.333333343,0.295238112,0.350000009,0.666666687,0.688888907,0.683333367,0.711111128,0.4,0,0,0
catherine,aggness,0.111111111,0.111111111,0.502645503,0.502645503,0.333333333,0.502645503,0.502645503,0.25,0.25,0.285714286,0.285714286,0.222222222,0.222222222,0.222222222,0.285714286,0.25,0.333333333,0.428571429,0.375,0.333333333,0.428571429,0.375,0.125,0.166666667,0.142857143,0.1,0.125,0.111111111,0,0,0,0,0,0,0.25,0.285714286,0.222222222,0,0,0,0,0,0,0.25,0.285714286,0.222222222,0,0,0,0,0,0,0.065217391,0.083333333,0.073170732,0.055555556,0.076923077,0.064516129,0,0,0,0.25,0,0.25,0.361111119,0.444444458,0.289743602,0.462962975,0.566666681,0.656565677,0.580000025,0.674747494,0.277777778,0,0,0
annetta,agnes,0.428571429,0.428571429,0.676190476,0.708571429,0.428571429,0.708571429,0.708571429,0.333333333,0.333333333,0.4,0.4,0.285714286,0.285714286,0.285714286,0.4,0.333333333,0.428571429,0.6,0.5,0.428571429,0.6,0.5,0.166666667,0.25,0.2,0.25,0.333333333,0.285714286,0,0,0,0.111111111,0.142857143,0.125,0.5,0.6,0.428571429,0.2,0.25,0.166666667,0,0,0,0.5,0.6,0.428571429,0.285714286,0.333333333,0.25,0.125,0.142857143,0.111111111,0.222222222,0.307692308,0.258064516,0.192307692,0.3125,0.238095238,0.25,0.5,0.75,0.25,0.5,0.25,0.444444451,0.604938282,0.591666684,0.622222231,0.666666679,0.728395078,0.68333336,0.745679028,0.571428571,0,0,0
nelson,agnesis,0.285714286,0.285714286,0.642857143,0.642857143,0.428571429,0.642857143,0.642857143,0.307692308,0.307692308,0.333333333,0.333333333,0.285714286,0.285714286,0.314285714,0.366666667,0.338461538,0.428571429,0.5,0.461538462,0.428571429,0.5,0.461538462,0.166666667,0.2,0.181818182,0.125,0.142857143,0.133333333,0,0,0,0,0,0,0.461538462,0.5,0.428571429,0.181818182,0.2,0.166666667,0,0,0,0.461538462,0.5,0.428571429,0.133333333,0.142857143,0.125,0,0,0,0.166666667,0.193548387,0.179104478,0.192307692,0.238095238,0.212765957,0.25,0.5,0,0,0,0,0.481481493,0.59259261,0.492592613,0.495555568,0.714285731,0.666666687,0.733333366,0.688888907,0.357142857,0.208333333,0.238095238,0.185185185
j,agness,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.4,0.114285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.190476196,0.263888896,0.195238105,0.275000006,0.666666687,0.703703721,0.683333367,0.733333349,0.25,0,0,0
elles,agnus,0.2,0.2,0.466666667,0.466666667,0.2,0.466666667,0.466666667,0.2,0.2,0.2,0.2,0.2,0.2,0.28,0.28,0.28,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0.142857143,0.142857143,0.142857143,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.166666667,0.166666667,0.166666667,0.142857143,0.142857143,0.142857143,0.076923077,0.076923077,0.076923077,0,0,0,0,0.5,0.25,0,0.5,0,0.259259264,0.407407416,0.26296297,0.417283959,0.388888896,0.523809535,0.394444456,0.536507947,0.4,0,0,0
freddie,angnes,0,0,0.436507937,0.436507937,0.142857143,0.436507937,0.436507937,0.153846154,0.153846154,0.166666667,0.166666667,0.142857143,0.142857143,0.142857143,0.166666667,0.153846154,0.142857143,0.166666667,0.153846154,0.142857143,0.166666667,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.166666667,0.142857143,0,0,0,0,0,0,0.153846154,0.166666667,0.142857143,0,0,0,0,0,0,0.027777778,0.032258065,0.029850746,0,0,0,0,0.25,0.25,0,0,0,0.24242425,0.268518527,0.248484861,0.353535365,0.416666679,0.543209897,0.42916669,0.560493847,0.214285714,0,0,0
matilda,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.166666672,0.234567907,0.170833342,0.24444445,0.166666672,0.296296305,0.170833342,0.306172848,0,0,0,0
maria,agnas,0.2,0.2,0.6,0.6,0.4,0.6,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0.115384615,0.115384615,0.115384615,0.0625,0.0625,0.0625,0,0.25,0,0,0,0,0.333333343,0.619047642,0.345833354,0.641269863,0.555555572,0.650793672,0.572222253,0.66984129,0.2,0,0,0
frederick,agnes,0.111111111,0.111111111,0.437037037,0.437037037,0.111111111,0.437037037,0.437037037,0.142857143,0.142857143,0.2,0.2,0.111111111,0.111111111,0.111111111,0.2,0.142857143,0.111111111,0.2,0.142857143,0.111111111,0.2,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.2,0.111111111,0,0,0,0,0,0,0.142857143,0.2,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.222222229,0.314814826,0.227777789,0.325925936,0.400000012,0.494949514,0.41000002,0.511111129,0.166666667,0,0,0
effy,agness,0,0,0,0,0.166666667,0,0,0.2,0.2,0.25,0.25,0.166666667,0.166666667,0.166666667,0.25,0.2,0.166666667,0.25,0.2,0.166666667,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,0,0.222222229,0.358024703,0.229629642,0.372839517,0.400000012,0.537037055,0.413333356,0.559259276,0.333333333,0,0,0
mary,agnus,0,0,0.483333333,0.483333333,0.2,0.483333333,0.483333333,0.222222222,0.222222222,0.25,0.25,0.2,0.2,0.2,0.25,0.222222222,0.2,0.25,0.222222222,0.2,0.25,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.25,0.2,0,0,0,0,0,0,0.222222222,0.25,0.2,0,0,0,0,0,0,0.038461538,0.047619048,0.042553191,0,0,0,0,0.25,0,0.25,0,0,0.250000007,0.402777791,0.258333348,0.419444457,0.533333349,0.666666687,0.546666694,0.685185204,0.1,0,0,0
famy,liza,0,0,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.25,0,0.5,0.285714294,0.333333343,0.295238112,0.344444454,0.533333349,0.629629652,0.546666694,0.651851873,0.25,0,0,0
anny,nancy,0.6,0.6,0.85,0.85,0.8,0.85,0.85,0.444444444,0.444444444,0.5,0.5,0.4,0.4,0.4,0.5,0.444444444,0.8,1,0.888888889,0.8,1,0.888888889,0.25,0.333333333,0.285714286,0.333333333,0.4,0.363636364,0,0,0,0.142857143,0.166666667,0.153846154,0.888888889,1,0.8,0.285714286,0.333333333,0.25,0,0,0,0.888888889,1,0.8,0.363636364,0.4,0.333333333,0.153846154,0.166666667,0.142857143,0.461538462,0.571428571,0.510638298,0.375,0.545454545,0.444444444,0.5,0.5,0.5,0.5,0.333333333,0.25,0.666666677,0.698412708,0.683333357,0.714285723,0.800000012,0.814814826,0.820000029,0.837037047,0.6,0,0,0
