first,second,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong
ralph,john,0,0,0,0,0.2,0,0,0.222222222,0.222222222,0.25,0.25,0.2,0.2,0.2,0.25,0.222222222,0.2,0.25,0.222222222,0.2,0.25,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.25,0.2,0,0,0,0,0,0,0.222222222,0.25,0.2,0,0,0,0,0,0,0.038461538,0.047619048,0.042553191,0,0,0,0.25,0.5,0.25,0.25,0,0.25,0.250000007,0.402777791,0.258333348,0.416666679,0.333333343,0.460317475,0.344444464,0.47619049,0.2,0,0,0
ralph,ralph,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
randall,randle,0.714285714,0.714285714,0.849206349,0.90952381,0.714285714,0.90952381,0.90952381,0.615384615,0.615384615,0.666666667,0.666666667,0.571428571,0.571428571,0.571428571,0.666666667,0.615384615,0.714285714,0.833333333,0.769230769,0.714285714,0.833333333,0.769230769,0.5,0.6,0.545454545,0.5,0.571428571,0.533333333,0.4,0.5,0.444444444,0.444444444,0.5,0.470588235,0.769230769,0.833333333,0.714285714,0.545454545,0.6,0.5,0.444444444,0.5,0.4,0.769230769,0.833333333,0.714285714,0.533333333,0.571428571,0.5,0.470588235,0.5,0.444444444,0.583333333,0.677419355,0.626865672,0.538461538,0.666666667,0.595744681,1,1,1,1,0,1,0.592592597,0.74074075,0.600000011,0.777777784,0.833333343,0.827160504,0.850000024,0.846913589,0.714285714,0.837209302,0.857142857,0.818181818
ransom,ransom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
rasmore,rosmar,0.571428571,0.571428571,0.746031746,0.771428571,0.857142857,0.771428571,0.771428571,0.307692308,0.307692308,0.333333333,0.333333333,0.285714286,0.285714286,0.685714286,0.8,0.738461538,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.166666667,0.2,0.181818182,0.25,0.285714286,0.266666667,0,0,0,0.111111111,0.125,0.117647059,0.615384615,0.666666667,0.571428571,0.181818182,0.2,0.166666667,0,0,0,0.615384615,0.666666667,0.571428571,0.266666667,0.285714286,0.25,0.117647059,0.125,0.111111111,0.333333333,0.387096774,0.358208955,0.307692308,0.380952381,0.340425532,1,1,1,1,0,1,0.518518527,0.691358036,0.68750003,0.708641986,0.750000015,0.777777791,0.770833366,0.800000012,0.714285714,0.844444444,0.863636364,0.826086957
reachel,rachel,0.857142857,0.857142857,0.952380952,0.957142857,0.857142857,0.957142857,0.957142857,0.769230769,0.769230769,0.833333333,0.833333333,0.714285714,0.714285714,0.714285714,0.833333333,0.769230769,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.666666667,0.8,0.727272727,0.75,0.857142857,0.8,0.6,0.75,0.666666667,0.666666667,0.75,0.705882353,0.923076923,1,0.857142857,0.727272727,0.8,0.666666667,0.666666667,0.75,0.6,0.923076923,1,0.857142857,0.8,0.857142857,0.75,0.705882353,0.75,0.666666667,0.722222222,0.838709677,0.776119403,0.692307692,0.857142857,0.765957447,1,1,1,1,0,1,0.833333336,0.839506176,0.837500006,0.844444447,0.916666672,0.901234574,0.925000012,0.911111116,0.857142857,0.930232558,0.952380952,0.909090909
real,real,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
rebbecca,rebecca,0.875,0.875,0.958333333,0.970833333,0.875,0.970833333,0.970833333,0.666666667,0.933333333,0.714285714,1,0.625,0.875,0.725,0.828571429,0.773333333,0.875,1,0.933333333,0.875,1,0.933333333,0.857142857,1,0.923076923,0.888888889,1,0.941176471,0.666666667,0.8,0.727272727,0.8,0.888888889,0.842105263,0.933333333,1,0.875,0.923076923,1,0.857142857,0.727272727,0.8,0.666666667,0.933333333,1,0.875,0.941176471,1,0.888888889,0.842105263,0.888888889,0.8,0.804878049,0.916666667,0.857142857,0.741935484,0.884615385,0.807017544,1,1,1,1,0,0.5,0.888888889,0.877777779,0.888888889,0.882222223,0.962962965,0.955555558,0.966666672,0.960000002,1,0.930232558,0.952380952,0.909090909
rebeca,rebeca,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
rebeca,rebecca,0.857142857,0.857142857,0.952380952,0.971428571,0.857142857,0.971428571,0.971428571,0.769230769,0.769230769,0.833333333,0.833333333,0.714285714,0.714285714,0.714285714,0.833333333,0.769230769,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.833333333,1,0.909090909,0.875,1,0.933333333,0.6,0.75,0.666666667,0.777777778,0.875,0.823529412,0.923076923,1,0.857142857,0.909090909,1,0.833333333,0.666666667,0.75,0.6,0.923076923,1,0.857142857,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.777777778,0.903225806,0.835820896,0.730769231,0.904761905,0.808510638,1,1,1,1,0,1,0.875,0.864197532,0.875,0.869135804,1,0.972222224,1,0.977777779,1,1,1,1
