,Observations,age,hand,gender,T_2.7,alpha_2.7,T_2.8,alpha_2.8,T_2.9,alpha_2.9,T_3.0,alpha_3.0,T_3.1,alpha_3.1,T_3.2,alpha_3.2,Group
361,CC510259,60,100,1,1.827546452,1.297157545,1.317663421,1.319218195,1.77002271,1.30448824,1.6159442,1.255559456,1.478804218,1.25591706,1.40651111,1.379178764,5
362,CC510284,60,100,1,1.671403797,1.738053753,1.565256921,1.736905104,1.609777804,1.614260804,1.554471168,1.51319819,1.523022594,1.277257873,1.418904379,1.474907117,5
380,CC510483,60,-70,1,1.705114379,1.773543562,1.608291419,1.555914552,1.576445945,1.456265172,1.284021258,1.423808797,1.37716338,1.243562579,1.289899515,1.241655876,5
390,CC520011,60,100,1,1.326915266,1.309728776,1.495632474,1.272791127,1.661166506,1.253647551,1.327494666,1.255775644,1.310947379,1.283865834,1.296097565,1.2382684,5
395,CC520065,60,90,0,1.470382557,1.502904069,1.370229703,1.254019478,1.352398094,1.385758806,1.322478302,1.22954529,1.287443252,1.317887925,1.26907589,1.254420896,5
424,CC520480,60,80,0,1.632092231,1.802569125,1.793806882,1.450610647,1.573806469,1.467894979,1.29736093,1.448649998,1.500015359,1.523015831,1.271702373,1.323831057,5
434,CC520624,60,89,1,1.671618937,1.299868516,1.594610921,1.477209362,1.472059142,1.527096132,1.469226141,1.469629314,1.451265543,1.409319453,1.385609222,1.335266153,5
374,CC510433,61,100,1,1.733789848,1.295678342,1.635711572,1.634221147,1.505253852,1.54265329,1.462025037,1.509361011,1.451084918,1.237407435,1.459820347,1.273495161,5
384,CC510551,61,100,0,1.545279157,1.511167331,1.554656046,1.639223562,1.709108889,1.531283885,1.555361719,1.474085768,1.377236982,1.404015231,1.333289603,1.467824583,5
387,CC510648,61,89,1,1.7295715,1.789207731,1.710032512,1.617898727,1.554192065,1.595476825,1.496463142,1.353343047,1.443309181,1.435123092,1.327216939,1.337113602,5
394,CC520055,61,-44,1,1.965015276,1.750944859,1.673785962,1.607119073,1.584784481,1.356584406,1.279076299,1.353304324,1.267106268,1.24838567,1.269426218,1.268959413,5
403,CC520147,61,100,1,1.735849014,1.643428697,1.717555009,1.608270346,1.635795046,1.50348025,1.474441678,1.424938883,1.344207989,1.353887102,1.557603972,1.307409145,5
405,CC520175,61,100,0,1.701894088,1.857911441,1.698208653,1.702944677,1.596286302,1.575918261,1.468033277,1.488030285,1.412723461,1.442375426,1.395605275,1.243516852,5
420,CC520395,61,100,1,2.066482055,1.298458993,1.810090097,1.792519014,1.690804523,1.558872098,1.638785674,1.264649867,1.274091935,1.242362635,1.43389014,1.242781765,5
437,CC520775,61,100,1,1.815931961,1.303373202,1.696372238,1.30396955,1.327168945,1.288797924,1.30170075,1.287345725,1.57517254,1.283990846,1.273970332,1.281427772,5
347,CC510076,62,100,0,1.714844268,1.582280866,1.680404095,1.741061685,1.459798328,1.651374202,1.471852505,1.27499155,1.508431258,1.450003086,1.423268261,1.388169928,5
349,CC510115,62,100,1,1.787298299,1.309734864,1.585126991,1.269296275,1.286904428,1.254802056,1.409661018,1.237384493,1.26723639,1.27147968,1.275642349,1.230975997,5
358,CC510255,62,100,0,1.5932167,1.824710775,1.587862215,1.664043972,1.461815647,1.769952609,1.573187991,1.496415533,1.552059682,1.289522537,1.339787363,1.247708179,5
368,CC510354,62,-80,1,1.333589871,1.78269421,1.318074541,1.637372917,1.305787155,1.280912888,1.421751651,1.28939943,1.297662811,1.276293208,1.403221443,1.266196898,5
376,CC510438,62,-70,0,1.890550605,1.302613167,1.542031898,1.328203668,1.466193526,1.414653491,1.453976952,1.357374248,1.451819921,1.301088128,1.458436097,1.407532822,5
383,CC510548,62,100,0,1.330305605,1.410744181,1.317242102,1.64338683,1.299086606,1.327259066,1.295614045,1.308190801,1.278486272,1.262215046,1.398409581,1.30775688,5
398,CC520097,62,100,1,1.827500256,1.46153635,2.208190191,1.458031076,2.223043519,1.45644131,2.251477436,1.452872834,2.369096509,1.448681888,2.194843414,1.443483275,5
367,CC510342,63,100,1,1.528331855,1.313053373,1.330708245,1.282507186,1.549464019,1.38000778,1.341328168,1.249384424,1.280468811,1.257290053,1.275605813,1.25847715,5
381,CC510486,63,100,1,1.520794754,1.614429429,1.469843096,1.623819628,1.662119298,1.555614061,1.360074932,1.477051225,1.422149573,1.424061177,1.392831109,1.364266468,5
396,CC520078,63,58,0,1.893161433,2.101055122,1.732542227,1.862279424,1.628858885,1.68525876,1.683584684,1.553359808,1.553379519,1.430408669,1.496914177,1.435038473,5
409,CC520211,63,100,1,1.587083302,1.639589811,1.632975635,1.514213833,1.584964239,1.45625403,1.401039502,1.254670426,1.437162774,1.527825392,1.428738813,1.406847359,5
410,CC520215,63,100,1,1.755344408,1.625496067,1.580976764,1.380666687,1.310527561,1.279587434,1.335415795,1.364078052,1.337077176,1.314438325,1.431598453,1.410061062,5
417,CC520377,63,100,1,1.836333215,1.386566095,1.30586047,1.271430446,1.575785525,1.668098225,1.266672147,1.418397519,1.2649185,1.233681614,1.381742438,1.257927085,5
422,CC520424,63,75,0,1.665594055,1.299494278,1.540488081,1.427778949,1.448888096,1.323621048,1.41004028,1.506853993,1.396827735,1.424541393,1.377556811,1.359514144,5
436,CC520745,63,90,1,1.619575898,1.728948242,1.442433806,1.612070561,1.499940926,1.439728184,1.390530842,1.417380085,1.321572416,1.403140144,1.301694387,1.267199409,5
440,CC521040,63,100,1,1.984314881,1.446602605,1.759177049,1.777430417,1.386854363,1.309303008,1.449145764,1.380677977,1.274785713,1.480370019,1.275039176,1.354176332,5
351,CC510163,64,100,1,1.368158308,1.269505496,1.531872475,1.299760274,1.739295512,1.30085945,1.446677901,1.285507147,1.37405771,1.319149782,1.324243744,1.287418771,5
