,Observations,age,hand,gender,T_2.7,alpha_2.7,T_2.8,alpha_2.8,T_2.9,alpha_2.9,T_3.0,alpha_3.0,T_3.1,alpha_3.1,T_3.2,alpha_3.2,Group
525,CC620619,71,100,0,1.795647351,1.8027509,1.654405049,1.630139638,1.623168925,1.259309392,1.545705331,1.449238916,1.488796413,1.517939136,1.442358416,1.418336814,6
526,CC620659,71,90,1,1.760533218,2.045491698,1.413294145,1.560557772,1.505522435,1.263092613,1.602193604,1.582386568,1.271931581,1.296568741,1.269981672,1.259322444,6
530,CC620793,71,100,0,1.974457958,2.03627279,1.825136011,1.575279556,1.679528599,1.587248418,1.66145474,1.495709622,1.556305415,1.463808646,1.549520773,1.392168967,6
534,CC620935,71,100,0,1.330107105,1.303518942,1.309547022,1.262314052,1.456526535,1.416079254,1.311862207,1.270006402,1.328737368,1.310575692,1.298918979,1.321773079,6
444,CC610040,72,100,0,1.787360236,1.832993433,1.66892832,1.67571794,1.623684982,1.542746762,1.418042478,1.471652497,1.386263414,1.435440196,1.352262983,1.371101198,6
445,CC610046,72,90,0,1.499160708,1.479315584,1.448577398,1.416573683,1.37711417,1.388235561,1.336775264,1.37668452,1.272875868,1.362789262,1.273922372,1.314098959,6
456,CC610178,72,100,0,1.56830128,1.677596086,1.50579301,1.487978427,1.44828774,1.424308383,1.420320779,1.495732118,1.33909945,1.505647904,1.343096166,1.335897971,6
462,CC610292,72,-100,1,1.920694303,2.049024347,1.543266354,1.803218605,1.613483214,1.570186542,1.502982591,1.578048475,1.570929468,1.399754903,1.416795567,1.391813778,6
467,CC610405,72,100,1,1.539237863,1.636339722,1.515559571,1.584058983,1.45226572,1.506051946,1.415392567,1.449566961,1.299206078,1.279814155,1.29030896,1.250771556,6
474,CC610576,72,100,1,1.544126058,1.589365098,1.56010265,1.509184407,1.428059617,1.269402763,1.412269993,1.596659994,1.466142349,1.297179362,1.334628682,1.250541839,6
493,CC620164,72,100,1,1.605556588,1.40461321,1.352280313,1.548478455,1.32607208,1.247823477,1.300787797,1.289010828,1.301533919,1.337692855,1.261736025,1.246811109,6
540,CC621199,72,,0,1.654354088,1.318106777,1.527482498,1.531937812,1.677347714,1.532214682,1.302531967,1.475682439,1.506954415,1.486772706,1.441882248,1.414089284,6
541,CC621248,72,100,1,1.340444965,1.311076333,1.488338396,1.55230302,1.750673649,1.397179323,1.277983976,1.259889745,1.347144757,1.363040874,1.470598459,1.342531492,6
449,CC610058,73,-100,0,1.7159832,1.792069513,1.638532837,1.671198867,1.593278925,1.526103756,1.555228433,1.254705676,1.420656758,1.245901301,1.475255865,1.381071927,6
469,CC610469,73,100,1,1.338361053,1.481050101,1.340751423,1.44304972,1.333731914,1.285843502,1.30828978,1.315095182,1.313391675,1.300216831,1.304108393,1.264236989,6
488,CC620114,73,100,0,1.482561603,1.533571041,1.426884426,1.34932526,1.348915056,1.318920094,1.352229227,1.40401648,1.30210133,1.358154624,1.297806562,1.312111,6
492,CC620152,73,100,0,1.872744016,1.751048679,1.538483729,1.501956305,1.639596792,1.631185572,1.329293749,1.481683883,1.484351128,1.567096626,1.30448961,1.274668547,6
518,CC620526,73,90,1,1.580970247,1.666582018,1.629183767,1.55412695,1.45565042,1.484524029,1.510858437,1.455558595,1.268504943,1.316936723,1.355077667,1.366663045,6
519,CC620549,73,100,1,1.617037425,1.533890102,1.506101207,1.526102542,1.434423567,1.394658011,1.470257865,1.506817083,1.431096697,1.266009858,1.301029602,1.278558277,6
543,CC621642,73,100,0,1.946668943,1.506167895,1.506204587,1.530774399,1.729882045,1.472554155,1.37273548,1.385569929,1.510947818,1.41179246,1.599069301,1.243774832,6
481,CC620005,74,100,1,1.650432679,1.583901555,1.624384154,1.461205934,1.451588652,1.408341548,1.454542072,1.376182767,1.405290151,1.280252161,1.378999821,1.348916685,6
500,CC620314,74,100,1,1.712536073,1.703411347,1.603346732,1.291669249,1.536073602,1.467225486,1.52527865,1.25646091,1.498040171,1.335426377,1.418573227,1.394282752,6
513,CC620490,74,100,1,1.530312723,1.420300963,1.458925294,1.600614255,1.431290507,1.245220366,1.305629088,1.25059437,1.323737501,1.453793966,1.240121808,1.262922844,6
520,CC620557,74,100,1,1.338504235,1.287030205,1.288617701,1.29808914,1.28428227,1.273038887,1.291677351,1.232648547,1.293613526,1.23842499,7.231647563,1.254343539,6
521,CC620567,74,88,0,1.281201406,1.261148784,1.277710124,1.269704084,1.281144432,1.264559952,1.256804494,1.228227501,1.259963902,1.23194584,1.262916592,1.221786334,6
523,CC620592,74,86,1,1.858170674,1.330208772,1.782899415,1.706469513,1.52308369,1.491191833,1.508506373,1.271653857,1.519196507,1.545607739,1.409227338,1.352205848,6
457,CC610210,75,100,0,1.693258772,1.5895918,1.681808496,1.457563139,1.712916954,1.640748724,1.608543078,1.654805796,1.495151748,1.263687068,1.501430619,1.243021391,6
466,CC610392,75,100,1,1.669172611,1.724671085,1.570951721,1.600911537,1.570274525,1.488475659,1.621170487,1.263547358,1.503972658,1.33837836,1.409564437,1.530964728,6
491,CC620129,75,100,0,1.940694316,1.873867453,1.775813385,1.701849592,1.689147805,1.476627424,1.638723743,1.41654222,1.547936423,1.659715981,1.510251232,1.575973345,6
499,CC620284,75,100,1,1.840059552,1.308984557,1.699196789,1.295921972,1.373033666,1.285639012,1.62832003,1.41374466,1.519612964,1.290406575,1.441214774,1.499657638,6
509,CC620451,75,90,0,2.061300606,1.30982424,1.684797118,1.302997655,1.322571822,1.345671066,1.343154263,1.34789687,1.475268107,1.246327565,1.425513772,1.307562378,6
510,CC620454,75,100,1,1.530576502,1.479053549,1.765790464,1.389479027,1.370874063,1.32042236,1.433109713,1.533562524,1.38978116,1.266979095,1.264067667,1.295888265,6
511,CC620466,75,90,0,1.88061165,1.283941399,1.592203637,1.440335868,1.312012492,1.281460137,1.373418996,1.276552007,1.307625912,1.424837161,1.335104161,1.234249973,6
516,CC620515,75,100,1,1.855003531,1.930836006,1.869359031,1.564555012,1.685214815,1.572313552,1.617642099,1.445043298,1.441639666,1.502581686,1.433745014,1.453291406,6
538,CC621128,75,100,0,1.782276648,1.759455288,1.641585628,1.619242663,1.574781772,1.583497397,1.43825931,1.451844832,1.531616125,1.505436899,1.452791567,1.385861916,6
450,CC610061,76,87,1,1.706476919,1.310591809,1.562907347,1.40249264,1.496339766,1.513923085,1.466804864,1.529678281,1.402797117,1.356767528,1.340364138,1.322354693,6
455,CC610146,76,100,1,1.560429057,1.703162528,1.766396731,1.258444267,1.431268813,1.261954313,1.392222269,1.262919835,1.374376212,1.213010649,1.333326194,1.456902875,6
459,CC610227,76,100,1,1.373792128,1.339143351,1.364941041,1.303476081,1.335799056,1.276120204,1.305894155,1.492214789,1.288235546,1.418148851,1.322730512,1.287765031,6
472,CC610568,76,100,0,1.930418179,1.766821543,1.84159215,1.55035222,1.752880606,1.421272578,1.600190421,1.364748423,1.563770332,1.306336561,1.282656776,1.270039691,6
494,CC620193,76,100,0,1.86522311,1.306547002,1.784576669,1.786493805,1.532369171,1.523598083,1.422366316,1.530378806,1.555040171,1.532029056,1.498073041,1.344401422,6
497,CC620264,76,-89,1,1.56773192,1.279441127,1.64517084,1.481829545,1.519024738,1.633820503,1.272179088,1.517507275,1.46359525,1.470399423,1.457647052,1.388317125,6
503,CC620405,76,100,1,1.662376852,1.636320721,1.597364082,1.564295716,1.493698818,1.307840027,1.443769999,1.410272792,1.42356083,1.378733708,1.439044948,1.366496401,6
505,CC620413,76,80,0,1.656122549,2.031013452,1.806914783,1.544028089,1.509348386,1.256254748,1.552952341,1.646409124,1.430278225,1.420654012,1.455908057,1.30511199,6
524,CC620610,76,100,0,1.950122147,1.270992594,1.816043888,1.270617916,1.728130794,1.357445065,1.359109141,1.258085834,1.299815589,1.356935883,1.255456781,1.243591232,6
535,CC621011,76,100,0,1.820814976,1.500121,1.766974147,1.284230284,1.452856756,1.416849749,1.347480867,1.359004129,1.307793724,1.2932271,1.285106301,1.26045671,6
448,CC610052,77,100,0,1.57972488,1.592682934,1.520171246,1.285067598,1.413202578,1.545942494,1.416176607,1.311079811,1.435913259,1.341894676,1.375599229,1.45279167,6
452,CC610076,77,-73,1,1.463591879,1.487524584,1.414842605,1.449690515,1.351121129,1.294481432,1.298922662,1.255996201,1.294585336,1.335277652,1.267989319,1.33066257,6
458,CC610212,77,100,1,1.725678604,1.57352258,1.714845385,1.766394264,1.593346949,1.622008406,1.584815024,1.529753781,1.511870305,1.485997278,1.501007681,1.440948024,6
471,CC610508,77,100,1,1.925984165,1.476094478,1.764590297,1.267890062,1.635434814,1.618560921,1.524527208,1.371652039,1.358920195,1.319791666,1.556076262,1.288818746,6
477,CC610631,77,58,1,1.684087176,1.778986249,1.799545994,1.625515522,1.681845639,1.541894532,1.419248093,1.44158942,1.511873533,1.378354499,1.502340563,1.352591738,6
498,CC620279,77,56,0,1.865999898,1.817201467,1.632087908,1.655764435,1.55919342,1.518395623,1.532906682,1.571705554,1.492757812,1.407467297,1.256690835,1.23430166,6
508,CC620444,77,89,1,1.285036432,1.334360854,1.277427865,1.337496828,1.274338282,1.269979333,1.260136747,1.234384144,1.254813689,1.285932515,1.406599105,1.261974589,6
479,CC610658,78,100,0,1.713698725,1.960204401,1.510003236,1.8232861,1.594760459,1.721034866,1.573398857,1.59778283,1.425540411,1.4992905,1.371222845,1.444138922,7
501,CC620354,78,100,1,1.67240704,1.683306831,1.586110725,1.608968085,1.515447225,1.571953163,1.281122815,1.48368314,1.316317586,1.32787114,1.269252501,1.301231246,7
507,CC620436,78,100,0,1.536208916,1.284027485,1.501099734,1.29587212,1.310627652,1.270086206,1.30866436,1.260444067,1.28028627,1.248035872,1.319630124,1.33173906,7
517,CC620518,78,90,0,1.954050486,1.598249187,1.567596342,1.557812748,1.52587335,1.388749448,1.385990489,1.270912605,1.411910433,1.335368491,1.524820865,1.300131259,7
522,CC620572,78,100,1,1.659508824,1.28055423,1.586398596,1.270964148,1.541851651,1.491983997,1.440960327,1.280672208,1.333558527,1.380250623,1.293243534,1.349034795,7
528,CC620720,78,100,1,1.449705379,1.291085835,1.466703756,1.531186347,1.325517709,1.490976517,1.286748681,1.405710693,1.276228504,1.29356037,1.267185529,1.244714388,7
532,CC620885,78,76,0,1.47616689,1.381180101,1.457634116,1.39710892,1.475855051,1.252911813,1.516063437,1.48583252,1.501831338,1.417426924,1.458136343,1.512823568,7
533,CC620919,78,100,0,1.504890686,1.741135818,1.469818628,1.446177058,1.3925291,1.408119924,1.322965637,1.332315226,1.533628525,1.317412558,1.276222233,1.24152806,7
544,CC710037,78,-80,1,2.050549082,2.011832902,1.672945032,1.282366006,1.597265878,1.717136033,1.44357393,1.357641889,1.416978074,1.367614197,1.428689421,1.308278574,7
547,CC710176,78,100,1,1.495524155,1.302505825,1.736241806,1.24217256,1.659144477,1.491135783,1.49428854,1.415848857,1.259490985,1.253517544,1.442489966,1.239467529,7
576,CC720188,78,100,0,1.905569324,1.796481937,1.674288488,1.641795257,1.520197285,1.585907408,1.464566254,1.491180363,1.448708013,1.379181018,1.416637698,1.342181751,7
612,CC721888,78,62,1,1.560205596,1.499595358,1.296953319,1.264793607,1.280446724,1.263358388,1.52957369,1.265620322,1.288628407,1.247218445,1.284741516,1.302791287,7
542,CC621284,79,100,0,1.621070533,1.780449931,1.452786161,1.550754497,1.749002541,1.472350129,1.442115369,1.258908424,1.61278258,1.251094668,1.554462417,1.241144493,7
548,CC710214,79,26,0,1.675600406,1.606728733,1.629675232,1.55059202,1.555502206,1.520438938,1.489234845,1.529057499,1.483307466,1.618408139,1.511796181,1.39377491,7
556,CC710486,79,88,1,1.769445375,1.642582283,1.57554041,1.561469653,1.615044339,1.468069793,1.461861286,1.485162626,1.457282778,1.440052675,1.336325977,1.359414009,7
565,CC710982,79,80,0,1.707205525,1.29141733,1.439536192,1.458867416,1.47780617,1.453501437,1.43337181,1.389435176,1.560298682,1.346145669,1.258784759,1.242279056,7
575,CC720119,79,100,0,1.823002776,1.679720971,1.582944912,1.409059253,1.488567087,1.427753669,1.566908327,1.298086366,1.487108552,1.245161916,1.494264007,1.364492172,7
585,CC720511,79,100,0,1.382892904,1.384498439,1.345211064,1.354547706,1.27891663,1.28457903,1.338100554,1.259348826,1.357534159,1.355250377,1.320580989,1.240615859,7
589,CC720670,79,79,1,1.51441855,1.537232828,1.624061184,1.448127334,1.473100158,1.523335966,1.422175165,1.445063145,1.326092294,1.303902072,1.311799805,1.273049732,7
591,CC720941,79,89,0,1.339909281,1.677110387,1.676052597,1.554753747,1.461506954,1.532078567,1.376973693,1.495881578,1.316711636,1.288373917,1.277740212,1.270533804,7
593,CC721052,79,100,0,1.690584793,1.749792673,1.58510891,1.74019481,1.64235886,1.657286005,1.45215777,1.494467554,1.587318778,1.539882816,1.520376067,1.364889578,7
594,CC721107,79,100,1,1.522119466,1.267158856,1.423475237,1.261192932,1.364222896,1.32086503,1.424265297,1.422564186,1.504628007,1.246029485,1.455625788,1.234416291,7
595,CC721114,79,100,1,1.7361622,1.282921593,1.578153055,1.568544929,1.303830174,1.338869472,1.30726558,1.286448846,1.395277674,1.262220694,1.298438031,1.255957038,7
598,CC721292,79,100,0,1.851219131,1.77894254,1.590266786,1.610073275,1.565124473,1.527167667,1.544305118,1.473165803,1.413686251,1.493318283,1.513576882,1.40733502,7
602,CC721418,79,100,1,1.717902789,2.037264774,1.92424728,1.803668289,1.821927417,1.749589147,1.627983478,1.644829968,1.506544838,1.452757365,1.569917952,1.50014084,7
605,CC721519,79,100,1,1.71063639,1.940953778,1.784089236,1.705327903,1.689184507,1.666978252,1.6348377,1.509426621,1.600341363,1.500869304,1.460217357,1.455529186,7
607,CC721585,79,79,1,2.02547484,1.94330178,1.729695907,2.010077915,1.626627795,1.397936555,1.526270131,1.413839811,1.619528853,1.484691686,1.470532708,1.521814675,7
615,CC722421,79,100,1,1.350513416,1.308561929,1.614192069,1.304002915,1.446119627,1.616209013,1.295876128,1.274078244,1.471782018,1.269986233,1.50987748,1.272548482,7
616,CC722536,79,-56,1,1.4736235,1.455982195,1.302353142,1.268624085,1.748891559,1.258293733,1.290884198,1.253510087,1.282139559,1.256066727,1.273184961,1.249991393,7
617,CC722542,79,100,0,1.5905378,1.688485298,1.674362349,1.669375324,1.451206004,1.496012588,1.363454164,1.45438304,1.494109555,1.416763639,1.499659416,1.504211479,7
618,CC722651,79,100,1,1.830272979,1.690511906,1.683483036,1.586899712,1.622578372,1.466186993,1.530238386,1.375212981,1.404193692,1.416470755,1.431283472,1.363521112,7
553,CC710429,80,90,0,1.838238427,1.304387295,1.597499969,1.601179066,1.623860493,1.426886946,1.299251158,1.393373749,1.499169129,1.538942041,1.435255928,1.254822415,7
557,CC710494,80,25,0,1.333194829,1.360243757,1.381522919,1.338794171,11.61246259,1.26175424,1.270788085,1.244879023,1.266091537,1.292366094,1.235543893,1.251481156,7
567,CC711128,80,100,0,1.855952738,2.025764616,1.744589387,1.86462593,1.657581841,1.274186516,1.54761075,1.274011224,1.459762204,1.279116956,1.284356907,1.262216062,7
568,CC711158,80,90,0,1.625607809,1.547879633,1.574008568,1.519564599,1.5173787,1.374153197,1.636993036,1.394790335,1.37223858,1.463761852,1.316568172,1.27337954,7
574,CC720103,80,100,0,1.803508061,1.699294564,1.685044472,1.277400511,1.548693758,1.538567192,1.60719306,1.276453282,1.306818055,1.278298172,1.410591001,1.447146054,7
577,CC720238,80,100,1,1.77268779,1.793313184,1.722652156,1.642837013,1.324953412,1.269356392,1.4078676,1.385312098,1.350872106,1.444568851,1.49530481,1.320894262,7
579,CC720304,80,90,1,1.720490918,1.78344988,1.689577513,1.675611063,1.707196227,1.675928,1.600954051,1.458559942,1.535706811,1.526956528,1.372823556,1.45464309,7
580,CC720329,80,100,0,1.712374701,1.850620677,1.392703428,1.332742153,1.449391182,1.320700366,1.63761445,1.442148922,1.432299622,1.395456236,1.315998445,1.340608243,7
584,CC720497,80,100,1,1.304690113,1.274935705,1.561398634,1.265528321,1.417895231,1.259766392,1.271633584,1.261178632,1.543178054,1.25025637,1.428163626,1.255437429,7
597,CC721291,80,89,1,1.762868235,1.308907574,1.599883827,1.344783515,1.303671691,1.284262393,1.663195456,1.439272886,1.413728813,1.367912479,1.356338297,1.384786652,7
600,CC721377,80,89,0,1.589180921,1.642647635,1.782306921,1.452065165,1.400639033,1.265362013,1.485210658,1.300742142,1.556414866,1.322628781,1.53343983,1.219683659,7
601,CC721392,80,100,0,1.877175362,2.133799774,1.853898273,1.944423047,1.634543257,1.809739185,1.601331121,1.643649099,1.588176357,1.258111956,1.519065086,1.248584187,7
608,CC721648,80,100,1,1.438661001,1.25744511,1.393076007,1.427254769,1.273250709,1.274126091,1.4444092,1.345918397,1.311776302,1.320693657,1.305711481,1.301627773,7
610,CC721707,80,100,1,1.677033855,1.716543995,1.755635342,1.457996984,1.631698863,1.540039273,1.510576549,1.602306066,1.480172815,1.424162281,1.38941198,1.464226853,7
614,CC721894,80,100,1,1.576339725,1.302054632,1.437947416,1.532553907,1.375391257,1.258839634,1.377184108,1.331385488,1.534940876,1.256456154,1.402526912,1.376868865,7
549,CC710313,81,100,0,1.509203288,1.282017001,1.302068233,1.264730512,1.429846065,1.262570958,1.305105268,1.323084,1.385591595,1.434349878,1.358936144,1.364786473,7
551,CC710350,81,100,0,1.47599918,1.349507649,1.489975253,1.272542269,1.661781482,1.582314784,1.586347973,1.656729029,1.262403553,1.292989131,1.488228684,1.243795602,7
587,CC720622,81,100,1,59.9838698,1.262399268,1.449590781,1.271639162,1.566888249,1.260894511,1.270188174,1.24762908,1.451324929,1.245187769,1.41335405,1.278434851,7
588,CC720646,81,100,0,1.561087019,1.489487683,1.514009909,1.565662607,1.46520283,1.4580357,1.648213338,1.382848004,1.36598714,1.490131745,1.272706214,1.380514142,7
590,CC720685,81,100,0,1.848845744,1.98840492,1.832963881,1.590141701,1.493861879,1.354575034,1.506570753,1.518923762,1.464629606,1.43720659,1.405011647,1.363890856,7
611,CC721729,81,90,0,1.737309033,1.679424494,1.548313364,1.276724193,1.704965053,1.817665243,1.302607168,1.289070113,1.54229627,1.542121741,1.264971249,1.498563564,7
555,CC710462,82,80,1,2.057267762,1.295233841,1.314969257,1.278718028,1.298571299,1.432441545,1.276739607,1.399658877,1.520520214,1.569907644,1.421724528,1.49706144,7
562,CC710664,82,100,1,1.707880122,1.285279921,1.659279156,1.265853077,1.68342858,1.264458945,1.43924124,1.429422644,1.520006061,1.425843512,1.467772999,1.276630724,7
572,CC720023,82,100,1,1.699793873,1.29435882,1.445077567,1.40686452,1.387612444,1.301934075,1.341846607,1.372745805,1.34778333,1.325837376,1.450599574,1.271928824,7
573,CC720071,82,100,0,1.755277194,1.630500364,1.52745741,1.587074123,1.487679373,1.477290398,1.613994492,1.388500575,1.432874083,1.252797581,1.501229388,1.241067957,7
583,CC720407,82,-70,0,1.299183043,1.424830781,1.289576205,1.257249408,1.290086953,1.266897939,1.277261778,1.296661745,1.299255052,1.249226503,1.351006705,1.228873674,7
604,CC721504,82,100,0,1.969065995,1.286117135,1.606588908,1.657268415,1.508434657,1.704491948,1.497990246,1.354909316,1.492210231,1.440763897,1.331698559,1.370548295,7
609,CC721704,82,100,1,1.409962019,1.415899654,1.350478027,1.367849331,1.547951544,1.30214164,1.324320896,1.265269206,1.355503181,1.383930192,1.3676144,1.247614102,7
545,CC710088,83,67,1,1.681761544,1.666280674,1.548563442,1.288533886,1.670512809,1.270914107,1.495293309,1.492717014,1.530189459,1.474760582,1.537824749,1.337959176,7
546,CC710154,83,100,0,1.712790183,1.591640786,1.788490989,1.506290569,1.447763533,1.572858425,1.632944872,1.655121789,1.534386837,1.560908175,1.34300727,1.373126915,7
550,CC710342,83,100,1,1.626914417,1.285319857,1.318560018,1.275762763,1.641696026,1.647361612,1.437748374,1.315053708,1.344999905,1.489979838,1.288490295,1.325933667,7
552,CC710382,83,100,0,1.643204235,1.613647616,1.507971261,1.460187097,1.469950008,1.465552998,1.69367952,1.469406927,1.440037689,1.372960174,1.418211064,1.503091687,7
558,CC710548,83,100,0,1.603355115,1.748828459,1.605608915,1.613587642,1.553572142,1.485567213,1.581972334,1.4701881,1.573573283,1.401458511,1.444947087,1.230846569,7
560,CC710566,83,100,0,1.649250257,1.493218741,1.859751756,1.502975359,1.485387496,1.422698509,1.476315826,1.276031096,1.349721369,1.326054903,1.406545612,1.32473582,7
581,CC720358,83,100,1,1.563009739,1.779142414,1.535122872,1.330908971,1.498093008,1.335551203,1.281544228,1.293403393,1.533031008,1.260072114,1.277452963,1.243721489,7
592,CC720986,83,100,0,1.605454117,1.819223624,1.532404908,1.635275913,1.466822994,1.304344999,1.510391404,1.342284946,1.49213288,1.472894965,1.481606257,1.298561997,7
613,CC721891,83,80,0,1.396973594,1.266858299,1.474291162,1.482670381,1.26854609,1.329158537,1.293724763,1.234701524,1.28063911,1.313908648,1.26524218,1.278861557,7
563,CC710679,84,100,0,1.592271497,1.63285909,1.59850811,1.634302148,1.496722968,1.46628153,1.529484791,1.455732951,1.403881031,1.313518746,1.422737887,1.360030926,7
578,CC720290,84,100,0,1.78040451,1.780182749,1.697505165,1.85157668,1.582318087,1.299453808,1.544571979,1.331974347,1.554534314,1.248164049,1.505707565,1.257225493,7
586,CC720516,84,89,1,1.56465297,1.275653605,1.357886422,1.532022823,1.448970559,1.478530642,1.34709891,1.315581948,1.273238107,1.272125276,1.280606393,1.304317679,7
603,CC721434,84,100,0,1.961948055,1.674137704,1.786918918,1.590524824,1.718993683,1.543287979,1.583087827,1.46349468,1.430475565,1.426340678,1.391337704,1.36810671,7
619,CC722891,84,89,1,1.734557751,1.728991105,1.631261802,1.516327573,1.526482306,1.471930668,1.5138283,1.581719453,1.418807602,1.305220535,1.279177468,1.294067164,7
554,CC710446,85,100,0,1.6305763,1.293814252,1.664700036,1.334283056,1.465913876,1.405950862,1.487122146,1.398039168,1.444411857,1.241510422,1.492975257,1.358689266,7
559,CC710551,85,100,0,1.570674655,1.28748635,1.316967712,1.338885243,1.313712092,1.276382473,1.327846856,1.26143433,1.280219124,1.264665669,1.266877275,1.31435051,7
561,CC710591,85,100,1,1.674451467,1.48454962,1.651533131,1.618867959,1.614615831,1.320239492,1.288725687,1.265933621,1.468104558,1.490033526,1.390298276,1.483010578,7
570,CC711245,85,100,0,1.332946728,1.277555274,1.597267817,1.619374126,1.644610638,1.361424056,1.337191294,1.440305168,1.357624448,1.37430526,1.440586129,1.46228286,7
582,CC720400,86,100,1,1.738776893,1.298950751,1.583380624,1.291580091,1.602920795,1.510254734,1.513652959,1.490771648,1.333250972,1.250927248,1.315261688,1.237470663,7
599,CC721374,86,100,0,1.421460463,1.360493349,1.393929933,1.319290288,1.704732419,1.319983619,1.349582593,1.315060949,1.597880816,1.308358786,1.32908,1.299220943,7
621,CC723395,86,90,1,1.680539179,1.592751932,1.552381199,1.553680384,1.668229986,1.276369309,1.546378387,1.556077009,1.494007953,1.515050131,1.479616677,1.349904961,7
571,CC712027,87,100,0,2.089077564,1.451002985,1.297331169,1.404454042,1.736953903,1.566708044,1.270039324,1.328657148,1.39995103,1.411931649,1.376761484,1.292647864,7
596,CC721224,87,100,1,1.877271563,1.905156677,1.754406836,1.756967799,1.319493764,1.557909915,1.56045508,1.535247537,1.286792194,1.294279855,1.293266211,1.441359251,7
606,CC721532,87,100,1,1.299766578,1.264738354,1.439468934,1.270155418,1.528300111,1.264895667,1.464813323,1.239724243,1.303697399,1.244466952,1.268417391,1.380571317,7
566,CC711035,88,68,1,1.902272322,1.329983534,1.745980898,1.872373168,1.540868925,1.624464468,1.475364084,1.407484567,1.54751786,1.398518436,1.472827737,1.349741496,7
