first,second,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong
bee,bee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gardiner,gardner,0.875,0.875,0.958333333,0.975,0.875,0.975,0.975,0.933333333,0.933333333,1,1,0.875,0.875,0.725,0.828571429,0.773333333,0.875,1,0.933333333,0.875,1,0.933333333,0.714285714,0.833333333,0.769230769,0.777777778,0.875,0.823529412,0.5,0.6,0.545454545,0.7,0.777777778,0.736842105,0.933333333,1,0.875,0.769230769,0.833333333,0.714285714,0.545454545,0.6,0.5,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.736842105,0.777777778,0.7,0.731707317,0.833333333,0.779220779,0.64516129,0.769230769,0.701754386,1,1,1,1,1,1,0.851851854,0.855555558,0.855555561,0.860000002,0.92592593,0.911111116,0.929629637,0.920000005,0.875,0.703703704,0.791666667,0.633333333
robertson,robertson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gardiner,gardner,0.875,0.875,0.958333333,0.975,0.875,0.975,0.975,0.933333333,0.933333333,1,1,0.875,0.875,0.725,0.828571429,0.773333333,0.875,1,0.933333333,0.875,1,0.933333333,0.714285714,0.833333333,0.769230769,0.777777778,0.875,0.823529412,0.5,0.6,0.545454545,0.7,0.777777778,0.736842105,0.933333333,1,0.875,0.769230769,0.833333333,0.714285714,0.545454545,0.6,0.5,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.736842105,0.777777778,0.7,0.731707317,0.833333333,0.779220779,0.64516129,0.769230769,0.701754386,1,1,1,1,1,1,0.851851854,0.855555558,0.855555561,0.860000002,0.92592593,0.911111116,0.929629637,0.920000005,0.875,0.703703704,0.791666667,0.633333333
dickson,dickson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gardiner,gardner,0.875,0.875,0.958333333,0.975,0.875,0.975,0.975,0.933333333,0.933333333,1,1,0.875,0.875,0.725,0.828571429,0.773333333,0.875,1,0.933333333,0.875,1,0.933333333,0.714285714,0.833333333,0.769230769,0.777777778,0.875,0.823529412,0.5,0.6,0.545454545,0.7,0.777777778,0.736842105,0.933333333,1,0.875,0.769230769,0.833333333,0.714285714,0.545454545,0.6,0.5,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.736842105,0.777777778,0.7,0.731707317,0.833333333,0.779220779,0.64516129,0.769230769,0.701754386,1,1,1,1,1,1,0.851851854,0.855555558,0.855555561,0.860000002,0.92592593,0.911111116,0.929629637,0.920000005,0.875,0.703703704,0.791666667,0.633333333
smith,smith,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gardiner,gardner,0.875,0.875,0.958333333,0.975,0.875,0.975,0.975,0.933333333,0.933333333,1,1,0.875,0.875,0.725,0.828571429,0.773333333,0.875,1,0.933333333,0.875,1,0.933333333,0.714285714,0.833333333,0.769230769,0.777777778,0.875,0.823529412,0.5,0.6,0.545454545,0.7,0.777777778,0.736842105,0.933333333,1,0.875,0.769230769,0.833333333,0.714285714,0.545454545,0.6,0.5,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.736842105,0.777777778,0.7,0.731707317,0.833333333,0.779220779,0.64516129,0.769230769,0.701754386,1,1,1,1,1,1,0.851851854,0.855555558,0.855555561,0.860000002,0.92592593,0.911111116,0.929629637,0.920000005,0.875,0.703703704,0.791666667,0.633333333
dickson,dickson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mcintosh,mcintosh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
