ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,DMetaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,count,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
waters,watters,0.857142857,0.857142857,0.952380952,0.966666667,0.857142857,0.966666667,0.966666667,0.615384615,0.923076923,0.666666667,1,0.571428571,0.857142857,0.685714286,0.8,0.738461538,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.833333333,1,0.909090909,0.875,1,0.933333333,0.6,0.75,0.666666667,0.777777778,0.875,0.823529412,0.923076923,1,0.857142857,0.909090909,1,0.833333333,0.666666667,0.75,0.6,0.923076923,1,0.857142857,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.777777778,0.903225806,0.835820896,0.692307692,0.857142857,0.765957447,1,1,1,1,1,1,0.875,0.864197532,0.875,0.869135804,1,0.972222224,1,0.977777779,1,0.933333333,0.954545455,0.913043478,10,6,7,2,2,2,2,4,5,-1,0,-1,0
watkins,watkins,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,2,2,2,2,5,5,0,0,0,0
watson,watson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,6,6,2,2,2,2,4,4,0,0,0,0
watson,watsonn,0.857142857,0.857142857,0.952380952,0.971428571,0.857142857,0.971428571,0.971428571,0.923076923,0.923076923,1,1,0.857142857,0.857142857,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.833333333,1,0.909090909,0.875,1,0.933333333,0.8,1,0.888888889,0.777777778,0.875,0.823529412,0.923076923,1,0.857142857,0.909090909,1,0.833333333,0.888888889,1,0.8,0.923076923,1,0.857142857,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.805555556,0.935483871,0.865671642,0.807692308,1,0.893617021,1,1,1,1,1,1,0.875,0.864197532,0.875,0.869135804,1,0.972222224,1,0.977777779,1,0.930232558,0.952380952,0.909090909,1,6,7,2,2,2,2,4,5,-1,0,-1,0
watt,watt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,4,1,1,1,1,3,3,0,0,0,0
watts,watts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,4,4,0,0,0,0
waugh,waugh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,5,5,1,1,2,2,3,3,0,0,0,0
way,way,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,3,1,1,1,1,2,2,0,0,0,0
weaver,weaver,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,6,2,2,3,3,3,3,0,0,0,0
webber,weber,0.833333333,0.833333333,0.944444444,0.961111111,0.833333333,0.961111111,0.961111111,0.545454545,0.909090909,0.6,1,0.5,0.833333333,0.633333333,0.76,0.690909091,0.833333333,1,0.909090909,0.833333333,1,0.909090909,0.8,1,0.888888889,0.857142857,1,0.923076923,0.5,0.666666667,0.571428571,0.75,0.857142857,0.8,0.909090909,1,0.833333333,0.888888889,1,0.8,0.571428571,0.666666667,0.5,0.909090909,1,0.833333333,0.923076923,1,0.857142857,0.8,0.857142857,0.75,0.741935484,0.884615385,0.807017544,0.619047619,0.8125,0.702702703,1,1,1,1,1,1,0.857142857,0.847222224,0.857142857,0.852777779,0.952380955,0.944444448,0.957142864,0.950000003,1,0.930232558,0.952380952,0.909090909,4,6,5,2,2,2,2,4,3,1,0,1,0
weber,weber,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,2,2,3,3,0,0,0,0
weegar,weager,0.666666667,0.666666667,0.944444444,0.955555556,1,0.955555556,0.955555556,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.8,0.8,0.8,1,1,1,1,1,1,0.2,0.2,0.2,0.428571429,0.428571429,0.428571429,0,0,0,0.375,0.375,0.375,1,1,1,0.2,0.2,0.2,0,0,0,1,1,1,0.428571429,0.428571429,0.428571429,0.375,0.375,0.375,0.483870968,0.483870968,0.483870968,0.380952381,0.380952381,0.380952381,1,1,1,1,1,1,0.809523821,0.833333343,0.828571456,0.844444454,0.809523821,0.833333343,0.828571456,0.850000009,0.833333333,0.818181818,0.818181818,0.818181818,5,6,6,2,2,3,3,3,3,0,0,0,0
weiler,weiler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,6,2,2,3,3,3,3,0,0,0,0
weippert,weippert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,8,2,2,3,3,5,5,0,0,0,0
weir,weir,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,4,1,1,2,2,2,2,0,0,0,0
welch,walsh,0.6,0.6,0.733333333,0.76,0.6,0.76,0.76,0.2,0.2,0.2,0.2,0.2,0.2,0.48,0.48,0.48,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.285714286,0.285714286,0.285714286,0.6,0.6,0.6,0,0,0,0,0,0,0.6,0.6,0.6,0.333333333,0.333333333,0.333333333,0.285714286,0.285714286,0.285714286,0.384615385,0.384615385,0.384615385,0.25,0.25,0.25,1,1,0.75,0.75,1,0.25,0.777777791,0.809523821,0.788888911,0.822222233,0.777777791,0.809523821,0.788888911,0.822222233,0.8,0.333333333,0.333333333,0.333333333,8,5,5,1,1,1,1,4,4,0,0,0,0
welding,welding,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,2,2,2,2,5,5,0,0,0,0
welford,welford,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,2,2,2,2,5,5,0,0,0,0
wellington,wellington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,10,10,3,3,3,3,7,7,0,0,0,0
wells,wells,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,1,1,1,1,4,4,0,0,0,0
welsh,walsh,0.8,0.8,0.866666667,0.88,0.8,0.88,0.88,0.6,0.6,0.6,0.6,0.6,0.6,0.88,0.88,0.88,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.571428571,0.571428571,0.571428571,0.8,0.8,0.8,0.5,0.5,0.5,0.333333333,0.333333333,0.333333333,0.8,0.8,0.8,0.666666667,0.666666667,0.666666667,0.571428571,0.571428571,0.571428571,0.653846154,0.653846154,0.653846154,0.5625,0.5625,0.5625,1,1,1,1,1,1,0.888888896,0.90476191,0.894444456,0.914285719,0.888888896,0.90476191,0.894444456,0.914285719,0.9,0.866666667,0.866666667,0.866666667,4,5,5,1,1,1,1,4,4,0,0,0,0
