ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,count,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
naimda,merenda,0.285714286,0.285714286,0.53968254,0.53968254,0.571428571,0.53968254,0.53968254,0.307692308,0.307692308,0.333333333,0.333333333,0.285714286,0.285714286,0.4,0.466666667,0.430769231,0.571428571,0.666666667,0.615384615,0.571428571,0.666666667,0.615384615,0.166666667,0.2,0.181818182,0.25,0.285714286,0.266666667,0,0,0,0.222222222,0.25,0.235294118,0.307692308,0.333333333,0.285714286,0.181818182,0.2,0.166666667,0,0,0,0.307692308,0.333333333,0.285714286,0.266666667,0.285714286,0.25,0.235294118,0.25,0.222222222,0.194444444,0.225806452,0.208955224,0.115384615,0.142857143,0.127659574,0.25,0.25,0.25,0.25,0,0.25,0.400000006,0.424242431,0.410000014,0.432323239,0.761904776,0.722222239,0.780952411,0.74444446,0.571428571,0,0,0,1,6,7,2,3,3,3,3,4,-1,0,-1,-1
nancey,nancy,0.833333333,0.833333333,0.944444444,0.966666667,0.833333333,0.966666667,0.966666667,0.727272727,0.727272727,0.8,0.8,0.666666667,0.666666667,0.666666667,0.8,0.727272727,0.833333333,1,0.909090909,0.833333333,1,0.909090909,0.6,0.75,0.666666667,0.714285714,0.833333333,0.769230769,0.5,0.666666667,0.571428571,0.625,0.714285714,0.666666667,0.909090909,1,0.833333333,0.666666667,0.75,0.6,0.571428571,0.666666667,0.5,0.909090909,1,0.833333333,0.769230769,0.833333333,0.714285714,0.666666667,0.714285714,0.625,0.677419355,0.807692308,0.736842105,0.619047619,0.8125,0.702702703,1,1,1,1,0,0.75,0.809523812,0.819444448,0.814285721,0.825000003,0.90476191,0.888888896,0.909523819,0.900000006,0.833333333,0.774193548,0.8,0.75,1,6,5,2,2,2,1,4,4,1,1,0,0
nancy,anne,0.4,0.4,0.672222222,0.672222222,0.6,0.672222222,0.672222222,0.444444444,0.444444444,0.5,0.5,0.4,0.4,0.4,0.5,0.444444444,0.6,0.75,0.666666667,0.6,0.75,0.666666667,0.25,0.333333333,0.285714286,0.166666667,0.2,0.181818182,0,0,0,0,0,0,0.666666667,0.75,0.6,0.285714286,0.333333333,0.25,0,0,0,0.666666667,0.75,0.6,0.181818182,0.2,0.166666667,0,0,0,0.269230769,0.333333333,0.29787234,0.1875,0.272727273,0.222222222,0.5,0.5,0.5,0.5,0,0.25,0.611111124,0.603174618,0.627777805,0.622222236,0.611111124,0.714285731,0.627777805,0.736507952,0.5,0,0,0,1,5,4,2,1,1,2,4,2,1,-1,2,1
nancy,nancie,0.666666667,0.666666667,0.822222222,0.893333333,0.666666667,0.893333333,0.893333333,0.727272727,0.727272727,0.8,0.8,0.666666667,0.666666667,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.6,0.75,0.666666667,0.571428571,0.666666667,0.615384615,0.5,0.666666667,0.571428571,0.5,0.571428571,0.533333333,0.727272727,0.8,0.666666667,0.666666667,0.75,0.6,0.571428571,0.666666667,0.5,0.727272727,0.8,0.666666667,0.615384615,0.666666667,0.571428571,0.533333333,0.571428571,0.5,0.548387097,0.653846154,0.596491228,0.523809524,0.6875,0.594594595,1,1,1,1,0,0.75,0.761904768,0.763888896,0.766666676,0.775000006,0.888888896,0.873015881,0.894444456,0.885714293,0.833333333,1,1,1,1,5,6,2,1,1,3,4,3,-1,-2,1,1
nancy,nancy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,20,5,5,2,2,1,1,4,4,0,0,0,0
naomi,neomi,0.8,0.8,0.866666667,0.88,0.8,0.88,0.88,0.6,0.6,0.6,0.6,0.6,0.6,0.88,0.88,0.88,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.571428571,0.571428571,0.571428571,0.8,0.8,0.8,0.5,0.5,0.5,0.333333333,0.333333333,0.333333333,0.8,0.8,0.8,0.666666667,0.666666667,0.666666667,0.571428571,0.571428571,0.571428571,0.653846154,0.653846154,0.653846154,0.5625,0.5625,0.5625,1,1,1,1,0,1,0.888888896,0.90476191,0.894444456,0.914285719,0.888888896,0.90476191,0.894444456,0.914285719,0.9,0.866666667,0.866666667,0.866666667,1,5,5,2,2,3,3,2,2,0,0,0,0
napoleon,napleon,0.875,0.875,0.886904762,0.920833333,0.875,0.920833333,0.920833333,0.933333333,0.933333333,1,1,0.875,0.875,0.725,0.828571429,0.773333333,0.875,1,0.933333333,0.875,1,0.933333333,0.714285714,0.833333333,0.769230769,0.777777778,0.875,0.823529412,0.5,0.6,0.545454545,0.7,0.777777778,0.736842105,0.933333333,1,0.875,0.769230769,0.833333333,0.714285714,0.545454545,0.6,0.5,0.933333333,1,0.875,0.823529412,0.875,0.777777778,0.736842105,0.777777778,0.7,0.731707317,0.833333333,0.779220779,0.64516129,0.769230769,0.701754386,1,1,1,0.75,0,1,0.851851854,0.855555558,0.855555561,0.860000002,0.92592593,0.911111116,0.933333344,0.920000005,0.875,0.68,0.772727273,0.607142857,1,8,7,3,2,4,3,4,4,1,1,0,1
napoleon,napoleon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13,8,8,3,3,4,4,4,4,0,0,0,0
napoleon,narcisse,0.25,0.25,0.583333333,0.666666667,0.375,0.666666667,0.666666667,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.142857143,0.142857143,0.142857143,0.222222222,0.222222222,0.222222222,0,0,0,0.2,0.2,0.2,0.375,0.375,0.375,0.142857143,0.142857143,0.142857143,0,0,0,0.375,0.375,0.375,0.222222222,0.222222222,0.222222222,0.2,0.2,0.2,0.146341463,0.146341463,0.146341463,0.064516129,0.064516129,0.064516129,0.25,0.25,0.25,0.5,0,0.25,0.307692312,0.40170941,0.312820522,0.408547016,0.592592604,0.633333349,0.603703724,0.646666682,0.375,0,0,0,1,8,8,3,1,4,3,4,5,0,1,-1,2
napolieon,napoleon,0.888888889,0.888888889,0.962962963,0.977777778,0.888888889,0.977777778,0.977777778,0.941176471,0.941176471,1,1,0.888888889,0.888888889,0.755555556,0.85,0.8,0.888888889,1,0.941176471,0.888888889,1,0.941176471,0.75,0.857142857,0.8,0.8,0.888888889,0.842105263,0.571428571,0.666666667,0.615384615,0.727272727,0.8,0.761904762,0.941176471,1,0.888888889,0.8,0.857142857,0.75,0.615384615,0.666666667,0.571428571,0.941176471,1,0.888888889,0.842105263,0.888888889,0.8,0.761904762,0.8,0.727272727,0.760869565,0.853658537,0.804597701,0.694444444,0.806451613,0.746268657,1,1,1,1,0,1,0.866666669,0.868686871,0.870000005,0.872727275,0.933333337,0.919191924,0.936666673,0.927272732,0.888888889,0.947368421,0.964285714,0.931034483,1,9,8,3,3,5,4,4,4,1,1,0,0
